acronym,name,classification,formula,bands,polarizations,constants,external_variables,reductions,source,contributor,date_of_addition
IRGBVI,Improved-Red-Green-Blue Vegetation Index,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",(5.0 * (G ** 2.0) - 2.0 * (R ** 2.0) - 5.0 * (B ** 2.0)) / (5.0 * (G ** 2.0) + 2.0 * (R ** 2.0) + 5.0 * (B ** 2.0)),"['G', 'R', 'B']",[],{},{},{},"{'source_companions': [], 'source_link': 'https://doi.org/10.1016/j.jag.2024.103668', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Cheng Chen', 'Xiping Yuan', 'Shu Gan', 'WeiDong Luo', 'Rui Bi', 'RaoBo Li', 'Sha Gao'], 'citations_metrics': {'citation_count': 7, 'date': '2026-08-18', 'overall': {'percentile': 6.07, 'percentile_similar_age': 56.67, 'rank': 297, 'rank_similar_age': 16}, 'similar_age_count': 30, 'within_application_domain': {'percentile': 6.16, 'percentile_similar_age': 65.0, 'rank': 201, 'rank_similar_age': 10}}, 'how_to_cite': {'apa': 'Cheng Chen, Xiping Yuan, Shu Gan, WeiDong Luo, Rui Bi, RaoBo Li, & Sha Gao (2024). A new vegetation index based on UAV for extracting plateau vegetation information. International Journal of Applied Earth Observation and Geoinformation, 128. https://doi.org/10.1016/j.jag.2024.103668', 'bibtex': 'ASI_IRGBVI'}, 'journal': 'International Journal of Applied Earth Observation and Geoinformation', 'source': 'crossref', 'title': 'A new vegetation index based on UAV for extracting plateau vegetation information', 'type': 'article', 'volume': '128', 'year': 2024}}",https://github.com/davemlz,2025-07-11
KDI,Kochia Detection Index,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",((N + S1 - RE3)/(N + S1 + RE3)) * ((RE1 - 2.0 * RE3 + N)/(RE1 + 2.0 * RE3 + N)),"['N', 'S1', 'RE3', 'RE1']",[],{},{},{},"{'source_companions': ['WCI1', 'WCI2', 'WCI3'], 'source_link': 'https://doi.org/10.1016/j.mlwa.2026.100914', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Ali Lotfi', 'Adam Carter', 'Thuan Ha', 'Mohammad Meysami', 'Kwabena Nketia', 'Steve Shirtliffe'], 'citations_metrics': {'citation_count': 0, 'date': '2026-08-18', 'overall': {'percentile': 1.92, 'percentile_similar_age': 31.58, 'rank': 309, 'rank_similar_age': 15}, 'similar_age_count': 19, 'within_application_domain': {'percentile': 1.9, 'percentile_similar_age': 30.77, 'rank': 208, 'rank_similar_age': 10}}, 'how_to_cite': {'apa': 'Ali Lotfi, Adam Carter, Thuan Ha, Mohammad Meysami, Kwabena Nketia, & Steve Shirtliffe (2026). Interpretable machine learning–Derived spectral indices for vegetation monitoring. Machine Learning with Applications, 24. https://doi.org/10.1016/j.mlwa.2026.100914', 'bibtex': 'ASI_KDI'}, 'journal': 'Machine Learning with Applications', 'source': 'crossref', 'title': 'Interpretable machine learning–Derived spectral indices for vegetation monitoring', 'type': 'article', 'volume': '24', 'year': 2026}}",https://github.com/davemlz,2026-05-27
LCI,Leaf Chlorophyll Index,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['hyperspectral']}",(R850 - R710)/(R850 - R680),"['R850', 'R710', 'R680']",[],{},{},{},"{'source_companions': [], 'source_link': 'https://doi.org/10.1016/S0176-1617(99)80314-9', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Bisun Datt'], 'citations_metrics': {'citation_count': 454, 'date': '2026-08-18', 'overall': {'percentile': 61.66, 'percentile_similar_age': 32.56, 'rank': 121, 'rank_similar_age': 30}, 'similar_age_count': 43, 'within_application_domain': {'percentile': 47.87, 'percentile_similar_age': 19.44, 'rank': 111, 'rank_similar_age': 30}}, 'how_to_cite': {'apa': 'Bisun Datt (1999). A New Reflectance Index for Remote Sensing of Chlorophyll Content in Higher Plants: Tests using Eucalyptus Leaves. Journal of Plant Physiology, 154(1). https://doi.org/10.1016/s0176-1617(99)80314-9', 'bibtex': 'ASI_LCI'}, 'issue': '1', 'journal': 'Journal of Plant Physiology', 'source': 'crossref', 'title': 'A New Reflectance Index for Remote Sensing of Chlorophyll Content in Higher Plants: Tests using Eucalyptus Leaves', 'type': 'article', 'volume': '154', 'year': 1999}}",https://github.com/j-miszczyszyn,2026-08-09
LSWI,Land Surface Water Index,"{'application_domain': 'water', 'family': None, 'sensing_modalities': ['multispectral']}",(N - S1)/(N + S1),"['N', 'S1']",[],{},{},{},"{'source_companions': [], 'source_link': 'https://doi.org/10.1016/j.rse.2003.11.008', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Xiangming Xiao', 'David Hollinger', 'John Aber', 'Mike Goltz', 'Eric A. Davidson', 'Qingyuan Zhang', 'Berrien Moore'], 'citations_metrics': {'citation_count': 803, 'date': '2026-08-18', 'overall': {'percentile': 79.87, 'percentile_similar_age': 60.78, 'rank': 64, 'rank_similar_age': 21}, 'similar_age_count': 51, 'within_application_domain': {'percentile': 83.87, 'percentile_similar_age': 50.0, 'rank': 6, 'rank_similar_age': 2}}, 'how_to_cite': {'apa': 'Xiangming Xiao, David Hollinger, John Aber, Mike Goltz, Eric A. Davidson, Qingyuan Zhang, & Berrien Moore (2004). Satellite-based modeling of gross primary production in an evergreen needleleaf forest. Remote Sensing of Environment, 89(4). https://doi.org/10.1016/j.rse.2003.11.008', 'bibtex': 'ASI_LSWI'}, 'issue': '4', 'journal': 'Remote Sensing of Environment', 'source': 'crossref', 'title': 'Satellite-based modeling of gross primary production in an evergreen needleleaf forest', 'type': 'article', 'volume': '89', 'year': 2004}}",https://github.com/davemlz,2022-04-20
MBI,Modified Bare Soil Index,"{'application_domain': 'soil', 'family': None, 'sensing_modalities': ['multispectral']}",((S1 - S2 - N)/(S1 + S2 + N)) + 0.5,"['S1', 'S2', 'N']",[],{},{},{},"{'source_companions': ['NSDS'], 'source_link': 'https://doi.org/10.3390/land10030231', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Can Trong Nguyen', 'Amnat Chidthaisong', 'Phan Kieu Diem', 'Lian-Zhi Huo'], 'citations_metrics': {'citation_count': 229, 'date': '2026-08-18', 'overall': {'percentile': 48.56, 'percentile_similar_age': 82.46, 'rank': 162, 'rank_similar_age': 11}, 'similar_age_count': 57, 'within_application_domain': {'percentile': 94.12, 'percentile_similar_age': 100.0, 'rank': 2, 'rank_similar_age': 1}}, 'how_to_cite': {'apa': 'Can Trong Nguyen, Amnat Chidthaisong, Phan Kieu Diem, & Lian-Zhi Huo (2021). A Modified Bare Soil Index to Identify Bare Land Features during Agricultural Fallow-Period in Southeast Asia Using Landsat 8. Land, 10(3). https://doi.org/10.3390/land10030231', 'bibtex': 'ASI_MBI'}, 'issue': '3', 'journal': 'Land', 'source': 'crossref', 'title': 'A Modified Bare Soil Index to Identify Bare Land Features during Agricultural Fallow-Period in Southeast Asia Using Landsat 8', 'type': 'article', 'volume': '10', 'year': 2021}}",https://github.com/davemlz,2022-04-18
MBWI,Multi-Band Water Index,"{'application_domain': 'water', 'family': None, 'sensing_modalities': ['multispectral']}",(omega * G) - R - N - S1 - S2,"['G', 'R', 'N', 'S1', 'S2']",[],"{'omega': {'default_value': 2.0, 'description': 'Coefficient that maximizes the difference between water and non-water surfaces', 'suggested_values': {'For negative index values assigned to water and non-water surfaces': 1.0, 'For positive index values assigned to water surfaces and built-up areas (greater values than this also deliver the same result)': 5.0, 'For positive index values assigned to water surfaces and negative to non-water surfaces': 2.0}}}",{},{},"{'source_companions': [], 'source_link': 'https://doi.org/10.1016/j.jag.2018.01.018', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Xiaobiao Wang', 'Shunping Xie', 'Xueliang Zhang', 'Cheng Chen', 'Hao Guo', 'Jinkang Du', 'Zheng Duan'], 'citations_metrics': {'citation_count': 80, 'date': '2026-08-18', 'overall': {'percentile': 24.28, 'percentile_similar_age': 37.5, 'rank': 238, 'rank_similar_age': 36}, 'similar_age_count': 56, 'within_application_domain': {'percentile': 45.16, 'percentile_similar_age': 50.0, 'rank': 18, 'rank_similar_age': 6}}, 'how_to_cite': {'apa': 'Xiaobiao Wang, Shunping Xie, Xueliang Zhang, Cheng Chen, Hao Guo, Jinkang Du, & Zheng Duan (2018). A robust Multi-Band Water Index (MBWI) for automated extraction of surface water from Landsat 8 OLI imagery. International Journal of Applied Earth Observation and Geoinformation, 68. https://doi.org/10.1016/j.jag.2018.01.018', 'bibtex': 'ASI_MBWI'}, 'journal': 'International Journal of Applied Earth Observation and Geoinformation', 'source': 'crossref', 'title': 'A robust Multi-Band Water Index (MBWI) for automated extraction of surface water from Landsat 8 OLI imagery', 'type': 'article', 'volume': '68', 'year': 2018}}",https://github.com/davemlz,2022-01-17
MCARI,Modified Chlorophyll Absorption in Reflectance Index,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",((RE1 - R) - 0.2 * (RE1 - G)) * (RE1 / R),"['RE1', 'R', 'G']",[],{},{},{},"{'source_companions': [], 'source_link': 'http://dx.doi.org/10.1016/S0034-4257(00)00113-9', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['C Daughtry'], 'citations_metrics': {'citation_count': 2087, 'date': '2026-08-18', 'overall': {'percentile': 92.33, 'percentile_similar_age': 93.33, 'rank': 25, 'rank_similar_age': 5}, 'similar_age_count': 60, 'within_application_domain': {'percentile': 90.05, 'percentile_similar_age': 92.16, 'rank': 22, 'rank_similar_age': 5}}, 'how_to_cite': {'apa': 'C Daughtry (2000). Estimating Corn Leaf Chlorophyll Concentration from Leaf and Canopy Reflectance. Remote Sensing of Environment, 74(2). https://doi.org/10.1016/s0034-4257(00)00113-9', 'bibtex': 'ASI_MCARI'}, 'issue': '2', 'journal': 'Remote Sensing of Environment', 'source': 'crossref', 'title': 'Estimating Corn Leaf Chlorophyll Concentration from Leaf and Canopy Reflectance', 'type': 'article', 'volume': '74', 'year': 2000}}",https://github.com/davemlz,2021-05-13
MCARI1,Modified Chlorophyll Absorption in Reflectance Index 1,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",1.2 * (2.5 * (N - R) - 1.3 * (N - G)),"['N', 'R', 'G']",[],{},{},{},"{'source_companions': ['MTVI1', 'MCARI2', 'MTVI2'], 'source_link': 'https://doi.org/10.1016/j.rse.2003.12.013', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['D Haboudane'], 'citations_metrics': {'citation_count': 2230, 'date': '2026-08-18', 'overall': {'percentile': 93.93, 'percentile_similar_age': 84.31, 'rank': 20, 'rank_similar_age': 9}, 'similar_age_count': 51, 'within_application_domain': {'percentile': 92.42, 'percentile_similar_age': 84.62, 'rank': 17, 'rank_similar_age': 7}}, 'how_to_cite': {'apa': 'D Haboudane (2004). Hyperspectral vegetation indices and novel algorithms for predicting green LAI of crop canopies: Modeling and validation in the context of precision agriculture. Remote Sensing of Environment, 90(3). https://doi.org/10.1016/j.rse.2003.12.013', 'bibtex': 'ASI_MCARI1'}, 'issue': '3', 'journal': 'Remote Sensing of Environment', 'source': 'crossref', 'title': 'Hyperspectral vegetation indices and novel algorithms for predicting green LAI of crop canopies: Modeling and validation in the context of precision agriculture', 'type': 'article', 'volume': '90', 'year': 2004}}",https://github.com/davemlz,2021-05-14
MCARI2,Modified Chlorophyll Absorption in Reflectance Index 2,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",(1.5 * (2.5 * (N - R) - 1.3 * (N - G))) / ((((2.0 * N + 1) ** 2) - (6.0 * N - 5 * (R ** 0.5)) - 0.5) ** 0.5),"['N', 'R', 'G']",[],{},{},{},"{'source_companions': ['MCARI1', 'MTVI1', 'MTVI2'], 'source_link': 'https://doi.org/10.1016/j.rse.2003.12.013', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['D Haboudane'], 'citations_metrics': {'citation_count': 2230, 'date': '2026-08-18', 'overall': {'percentile': 93.93, 'percentile_similar_age': 84.31, 'rank': 21, 'rank_similar_age': 10}, 'similar_age_count': 51, 'within_application_domain': {'percentile': 92.42, 'percentile_similar_age': 84.62, 'rank': 18, 'rank_similar_age': 8}}, 'how_to_cite': {'apa': 'D Haboudane (2004). Hyperspectral vegetation indices and novel algorithms for predicting green LAI of crop canopies: Modeling and validation in the context of precision agriculture. Remote Sensing of Environment, 90(3). https://doi.org/10.1016/j.rse.2003.12.013', 'bibtex': 'ASI_MCARI1'}, 'issue': '3', 'journal': 'Remote Sensing of Environment', 'source': 'crossref', 'title': 'Hyperspectral vegetation indices and novel algorithms for predicting green LAI of crop canopies: Modeling and validation in the context of precision agriculture', 'type': 'article', 'volume': '90', 'year': 2004}}",https://github.com/davemlz,2021-05-14
MCARI705,Modified Chlorophyll Absorption in Reflectance Index (705 and 750 nm),"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",((RE2 - RE1) - 0.2 * (RE2 - G)) * (RE2 / RE1),"['RE2', 'RE1', 'G']",[],{},{},{},"{'source_companions': ['TCARIOSAVI705', 'MCARIOSAVI705', 'MSR705'], 'source_link': 'https://doi.org/10.1016/j.agrformet.2008.03.005', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Chaoyang Wu', 'Zheng Niu', 'Quan Tang', 'Wenjiang Huang'], 'citations_metrics': {'citation_count': 767, 'date': '2026-08-18', 'overall': {'percentile': 79.23, 'percentile_similar_age': 88.24, 'rank': 66, 'rank_similar_age': 5}, 'similar_age_count': 34, 'within_application_domain': {'percentile': 72.51, 'percentile_similar_age': 87.5, 'rank': 59, 'rank_similar_age': 3}}, 'how_to_cite': {'apa': 'Chaoyang Wu, Zheng Niu, Quan Tang, & Wenjiang Huang (2008). Estimating chlorophyll content from hyperspectral vegetation indices: Modeling and validation. Agricultural and Forest Meteorology, 148(8-9). https://doi.org/10.1016/j.agrformet.2008.03.005', 'bibtex': 'ASI_MCARI705'}, 'issue': '8-9', 'journal': 'Agricultural and Forest Meteorology', 'source': 'crossref', 'title': 'Estimating chlorophyll content from hyperspectral vegetation indices: Modeling and validation', 'type': 'article', 'volume': '148', 'year': 2008}}",https://github.com/davemlz,2021-11-06
MCARIOSAVI,MCARI/OSAVI Ratio,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",(((RE1 - R) - 0.2 * (RE1 - G)) * (RE1 / R)) / (1.16 * (N - R) / (N + R + 0.16)),"['RE1', 'R', 'G', 'N']",[],{},{},{},"{'source_companions': [], 'source_link': 'https://doi.org/10.1016/S0034-4257(00)00113-9', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['C Daughtry'], 'citations_metrics': {'citation_count': 2087, 'date': '2026-08-18', 'overall': {'percentile': 92.33, 'percentile_similar_age': 93.33, 'rank': 26, 'rank_similar_age': 6}, 'similar_age_count': 60, 'within_application_domain': {'percentile': 90.05, 'percentile_similar_age': 92.16, 'rank': 23, 'rank_similar_age': 6}}, 'how_to_cite': {'apa': 'C Daughtry (2000). Estimating Corn Leaf Chlorophyll Concentration from Leaf and Canopy Reflectance. Remote Sensing of Environment, 74(2). https://doi.org/10.1016/s0034-4257(00)00113-9', 'bibtex': 'ASI_MCARI'}, 'issue': '2', 'journal': 'Remote Sensing of Environment', 'source': 'crossref', 'title': 'Estimating Corn Leaf Chlorophyll Concentration from Leaf and Canopy Reflectance', 'type': 'article', 'volume': '74', 'year': 2000}}",https://github.com/davemlz,2021-11-06
MCARIOSAVI705,MCARI/OSAVI Ratio (705 and 750 nm),"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",(((RE2 - RE1) - 0.2 * (RE2 - G)) * (RE2 / RE1)) / (1.16 * (RE2 - RE1) / (RE2 + RE1 + 0.16)),"['RE2', 'RE1', 'G']",[],{},{},{},"{'source_companions': ['TCARIOSAVI705', 'MCARI705', 'MSR705'], 'source_link': 'https://doi.org/10.1016/j.agrformet.2008.03.005', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Chaoyang Wu', 'Zheng Niu', 'Quan Tang', 'Wenjiang Huang'], 'citations_metrics': {'citation_count': 767, 'date': '2026-08-18', 'overall': {'percentile': 79.23, 'percentile_similar_age': 88.24, 'rank': 67, 'rank_similar_age': 6}, 'similar_age_count': 34, 'within_application_domain': {'percentile': 72.51, 'percentile_similar_age': 87.5, 'rank': 60, 'rank_similar_age': 4}}, 'how_to_cite': {'apa': 'Chaoyang Wu, Zheng Niu, Quan Tang, & Wenjiang Huang (2008). Estimating chlorophyll content from hyperspectral vegetation indices: Modeling and validation. Agricultural and Forest Meteorology, 148(8-9). https://doi.org/10.1016/j.agrformet.2008.03.005', 'bibtex': 'ASI_MCARI705'}, 'issue': '8-9', 'journal': 'Agricultural and Forest Meteorology', 'source': 'crossref', 'title': 'Estimating chlorophyll content from hyperspectral vegetation indices: Modeling and validation', 'type': 'article', 'volume': '148', 'year': 2008}}",https://github.com/davemlz,2021-11-06
MGRVI,Modified Green Red Vegetation Index,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",(G ** 2.0 - R ** 2.0) / (G ** 2.0 + R ** 2.0),"['G', 'R']",[],{},{},{},"{'source_companions': ['RGBVI'], 'source_link': 'https://doi.org/10.1016/j.jag.2015.02.012', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Juliane Bendig', 'Kang Yu', 'Helge Aasen', 'Andreas Bolten', 'Simon Bennertz', 'Janis Broscheit', 'Martin L. Gnyp', 'Georg Bareth'], 'citations_metrics': {'citation_count': 531, 'date': '2026-08-18', 'overall': {'percentile': 66.13, 'percentile_similar_age': 76.0, 'rank': 107, 'rank_similar_age': 7}, 'similar_age_count': 25, 'within_application_domain': {'percentile': 54.5, 'percentile_similar_age': 76.92, 'rank': 97, 'rank_similar_age': 4}}, 'how_to_cite': {'apa': 'Juliane Bendig, Kang Yu, Helge Aasen, Andreas Bolten, Simon Bennertz, Janis Broscheit, Martin L. Gnyp, & Georg Bareth (2015). Combining UAV-based plant height from crop surface models, visible, and near infrared vegetation indices for biomass monitoring in barley. International Journal of Applied Earth Observation and Geoinformation, 39. https://doi.org/10.1016/j.jag.2015.02.012', 'bibtex': 'ASI_MGRVI'}, 'journal': 'International Journal of Applied Earth Observation and Geoinformation', 'source': 'crossref', 'title': 'Combining UAV-based plant height from crop surface models, visible, and near infrared vegetation indices for biomass monitoring in barley', 'type': 'article', 'volume': '39', 'year': 2015}}",https://github.com/davemlz,2021-05-14
MI,Mangrove Index,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",(N - S1) / (N * S1),"['N', 'S1']",[],{},{},{},"{'source_companions': [], 'source_link': 'https://www.researchgate.net/profile/Gathot-Winarso/publication/277137915_NEW_MANGROVE_INDEX_AS_DEGRADATIONHEALTH_INDICATOR_USING_REMOTE_SENSING_DATA_SEGARA_ANAKAN_AND_ALAS_PURWO_CASE_STUDY/links/5562d90c08ae8c0cab333ab4/NEW-MANGROVE-INDEX-AS-DEGRADATION-HEALTH-INDICATOR-USING-REMOTE-SENSING-DATA-SEGARA-ANAKAN-AND-ALAS-PURWO-CASE-STUDY.pdf', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'other', 'source_metadata': {}}",https://github.com/davemlz,2025-07-11
MIRBI,Mid-Infrared Burn Index,"{'application_domain': 'burn', 'family': None, 'sensing_modalities': ['multispectral']}",10.0 * S2 - 9.8 * S1 + 2.0,"['S2', 'S1']",[],{},{},{},"{'source_companions': [], 'source_link': 'https://doi.org/10.1080/01431160110053185', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['S. Trigg', 'S. Flasse'], 'citations_metrics': {'citation_count': 236, 'date': '2026-08-18', 'overall': {'percentile': 50.16, 'percentile_similar_age': 24.39, 'rank': 157, 'rank_similar_age': 32}, 'similar_age_count': 41, 'within_application_domain': {'percentile': 100.0, 'percentile_similar_age': 100.0, 'rank': 1, 'rank_similar_age': 1}}, 'how_to_cite': {'apa': 'S. Trigg, & S. Flasse (2001). An evaluation of different bi-spectral spaces for discriminating burned shrub-savannah. International Journal of Remote Sensing, 22(13). https://doi.org/10.1080/01431160110053185', 'bibtex': 'ASI_MIRBI'}, 'issue': '13', 'journal': 'International Journal of Remote Sensing', 'source': 'crossref', 'title': 'An evaluation of different bi-spectral spaces for discriminating burned shrub-savannah', 'type': 'article', 'volume': '22', 'year': 2001}}",https://github.com/davemlz,2022-04-19
MLSWI26,Modified Land Surface Water Index (MODIS Bands 2 and 6),"{'application_domain': 'water', 'family': None, 'sensing_modalities': ['multispectral']}",(1.0 - N - S1)/(1.0 - N + S1),"['N', 'S1']",[],{},{},{},"{'source_companions': ['MLSWI27'], 'source_link': 'https://doi.org/10.3390/rs71215805', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Youngjoo Kwak', 'Bhuyan Arifuzzanman', 'Yoichi Iwami'], 'citations_metrics': {'citation_count': 52, 'date': '2026-08-18', 'overall': {'percentile': 19.49, 'percentile_similar_age': 20.0, 'rank': 253, 'rank_similar_age': 21}, 'similar_age_count': 25, 'within_application_domain': {'percentile': 41.94, 'percentile_similar_age': 50.0, 'rank': 19, 'rank_similar_age': 4}}, 'how_to_cite': {'apa': 'Youngjoo Kwak, Bhuyan Arifuzzanman, & Yoichi Iwami (2015). Prompt Proxy Mapping of Flood Damaged Rice Fields Using MODIS-Derived Indices. Remote Sensing, 7(12). https://doi.org/10.3390/rs71215805', 'bibtex': 'ASI_MLSWI26'}, 'issue': '12', 'journal': 'Remote Sensing', 'source': 'crossref', 'title': 'Prompt Proxy Mapping of Flood Damaged Rice Fields Using MODIS-Derived Indices', 'type': 'article', 'volume': '7', 'year': 2015}}",https://github.com/davemlz,2022-04-20
MLSWI27,Modified Land Surface Water Index (MODIS Bands 2 and 7),"{'application_domain': 'water', 'family': None, 'sensing_modalities': ['multispectral']}",(1.0 - N - S2)/(1.0 - N + S2),"['N', 'S2']",[],{},{},{},"{'source_companions': ['MLSWI26'], 'source_link': 'https://doi.org/10.3390/rs71215805', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Youngjoo Kwak', 'Bhuyan Arifuzzanman', 'Yoichi Iwami'], 'citations_metrics': {'citation_count': 52, 'date': '2026-08-18', 'overall': {'percentile': 19.49, 'percentile_similar_age': 20.0, 'rank': 254, 'rank_similar_age': 22}, 'similar_age_count': 25, 'within_application_domain': {'percentile': 41.94, 'percentile_similar_age': 50.0, 'rank': 20, 'rank_similar_age': 5}}, 'how_to_cite': {'apa': 'Youngjoo Kwak, Bhuyan Arifuzzanman, & Yoichi Iwami (2015). Prompt Proxy Mapping of Flood Damaged Rice Fields Using MODIS-Derived Indices. Remote Sensing, 7(12). https://doi.org/10.3390/rs71215805', 'bibtex': 'ASI_MLSWI26'}, 'issue': '12', 'journal': 'Remote Sensing', 'source': 'crossref', 'title': 'Prompt Proxy Mapping of Flood Damaged Rice Fields Using MODIS-Derived Indices', 'type': 'article', 'volume': '7', 'year': 2015}}",https://github.com/davemlz,2022-04-20
MNDVI,Modified Normalized Difference Vegetation Index,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",(N - S2)/(N + S2),"['N', 'S2']",[],{},{},{},"{'source_companions': [], 'source_link': 'https://doi.org/10.1080/014311697216810', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['C. Jurgens'], 'citations_metrics': {'citation_count': 130, 'date': '2026-08-18', 'overall': {'percentile': 33.55, 'percentile_similar_age': 7.14, 'rank': 210, 'rank_similar_age': 41}, 'similar_age_count': 42, 'within_application_domain': {'percentile': 23.7, 'percentile_similar_age': 5.41, 'rank': 163, 'rank_similar_age': 37}}, 'how_to_cite': {'apa': 'C. Jurgens (1997). The modified normalized difference vegetation index (mNDVI) a new index to determine frost damages in agriculture based on Landsat TM data. International Journal of Remote Sensing, 18(17). https://doi.org/10.1080/014311697216810', 'bibtex': 'ASI_MNDVI'}, 'issue': '17', 'journal': 'International Journal of Remote Sensing', 'source': 'crossref', 'title': 'The modified normalized difference vegetation index (mNDVI) a new index to determine frost damages in agriculture based on Landsat TM data', 'type': 'article', 'volume': '18', 'year': 1997}}",https://github.com/davemlz,2021-04-07
MNDWI,Modified Normalized Difference Water Index,"{'application_domain': 'water', 'family': None, 'sensing_modalities': ['multispectral']}",(G - S1) / (G + S1),"['G', 'S1']",[],{},{},{},"{'source_companions': [], 'source_link': 'https://doi.org/10.1080/01431160600589179', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Hanqiu Xu'], 'citations_metrics': {'citation_count': 5188, 'date': '2026-08-18', 'overall': {'percentile': 98.08, 'percentile_similar_age': 100.0, 'rank': 7, 'rank_similar_age': 1}, 'similar_age_count': 49, 'within_application_domain': {'percentile': 96.77, 'percentile_similar_age': 100.0, 'rank': 2, 'rank_similar_age': 1}}, 'how_to_cite': {'apa': 'Hanqiu Xu (2006). Modification of normalised difference water index (NDWI) to enhance open water features in remotely sensed imagery. International Journal of Remote Sensing, 27(14). https://doi.org/10.1080/01431160600589179', 'bibtex': 'ASI_MNDWI'}, 'issue': '14', 'journal': 'International Journal of Remote Sensing', 'source': 'crossref', 'title': 'Modification of normalised difference water index (NDWI) to enhance open water features in remotely sensed imagery', 'type': 'article', 'volume': '27', 'year': 2006}}",https://github.com/davemlz,2021-04-07
MNLI,Modified Non-Linear Vegetation Index,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",(1 + L)*((N ** 2) - R)/((N ** 2) + R + L),"['N', 'R']",[],"{'L': {'default_value': 0.5, 'description': 'Canopy background adjustment'}}",{},{},"{'source_companions': ['NDVISR', 'SAVISR'], 'source_link': 'https://doi.org/10.1109/TGRS.2003.812910', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Peng Gong', 'Ruiliang Pu', 'G.S. Biging', 'M.R. Larrieu'], 'citations_metrics': {'citation_count': 355, 'date': '2026-08-18', 'overall': {'percentile': 58.15, 'percentile_similar_age': 47.46, 'rank': 132, 'rank_similar_age': 32}, 'similar_age_count': 59, 'within_application_domain': {'percentile': 44.08, 'percentile_similar_age': 39.13, 'rank': 119, 'rank_similar_age': 29}}, 'how_to_cite': {'apa': 'Peng Gong, Ruiliang Pu, G.S. Biging, & M.R. Larrieu (2003). Estimation of forest leaf area index using vegetation indices derived from hyperion hyperspectral data. IEEE Transactions on Geoscience and Remote Sensing, 41(6). https://doi.org/10.1109/tgrs.2003.812910', 'bibtex': 'ASI_MNLI'}, 'issue': '6', 'journal': 'IEEE Transactions on Geoscience and Remote Sensing', 'source': 'crossref', 'title': 'Estimation of forest leaf area index using vegetation indices derived from hyperion hyperspectral data', 'type': 'article', 'volume': '41', 'year': 2003}}",https://github.com/davemlz,2021-05-11
